100 10000
0 57 15
67 74 79
43 45 90
3 93 68
46 98 69
47 53 22
4 89 72
26 48 7
2 86 15
1 42 40
28 32 55
67 74 55
73 94 47
15 24 85
4 89 65
23 93 99
17 45 92
11 28 28
3 93 6
27 66 48
33 67 91
38 81 20
44 88 92
18 95 73
7 53 64
28 94 23
52 57 15
3 34 89
15 24 84
20 54 62
43 45 95
73 94 25
43 45 77
44 88 2
43 45 59
0 57 86
49 83 4
2 86 67
0 57 70
1 9 87
11 28 75
27 86 76
12 71 61
12 71 88
1 9 23
0 57 98
10 93 39
16 99 3
20 54 17
42 56 86
26 48 33
23 93 76
3 51 54
78 92 51
28 32 87
70 76 80
7 53 93
65 71 28
46 98 53
42 81 2
7 53 85
11 61 96
27 66 63
0 57 99
27 66 79
45 52 79
71 95 27
30 38 64
70 76 68
71 95 81
70 76 56
16 45 98
7 33 6
7 33 87
27 66 72
38 81 22
47 53 41
2 86 69
18 95 99
6 9 43
4 81 66
16 45 68
18 95 59
73 94 57
46 72 76
22 58 76
1 9 28
70 76 100
12 71 85
4 81 78
68 81 21
23 93 10
1 55 89
45 52 1
73 94 63
38 81 14
16 45 6
26 48 87
0 57 94
46 98 58
22 58 89
20 40 95
38 81 74
30 38 92
7 53 33
26 48 9
27 86 19
21 37 85
73 94 81
10 93 65
1 55 63
4 74 31
52 57 92
17 19 62
7 53 46
0 57 37
45 52 5
23 93 3
22 58 12
16 99 93
20 40 69
23 93 17
47 53 5
8 60 65
7 33 45
17 45 29
12 71 50
67 74 79
38 81 41
67 74 72
7 53 50
70 76 16
18 95 39
38 82 17
23 93 84
52 57 65
1 9 22
2 86 14
11 61 75
16 99 94
4 89 3
33 67 35
23 93 26
22 58 54
27 66 9
11 61 71
38 81 75
30 38 71
28 32 53
23 93 25
17 45 62
36 91 86
0 57 33
55 62 81
30 38 91
3 93 56
7 53 18
12 71 33
4 81 84
8 60 42
0 57 85
15 24 55
36 91 29
11 28 31
63 80 11
67 74 20
38 81 19
12 71 96
27 66 29
3 74 13
2 86 44
17 19 83
15 24 59
12 71 82
46 98 5
11 28 25
11 61 89
7 53 65
60 61 74
73 94 31
71 95 72
4 89 38
1 9 18
26 48 12
31 34 92
12 71 73
2 86 80
38 82 18
1 9 30
7 33 60
15 24 17
1 9 10
16 99 66
38 81 40
12 71 5
23 93 77
28 94 31
11 28 59
15 24 14
28 94 13
73 94 13
65 71 12
50 89 86
1 42 54
27 66 97
7 53 22
65 99 98
43 45 99
18 95 63
38 81 94
0 57 86
27 86 89
43 45 46
46 98 45
15 24 97
1 55 79
15 24 94
68 81 39
52 57 7
27 66 90
26 48 27
20 54 87
68 81 34
25 75 80
17 45 51
2 86 71
33 67 28
0 57 36
1 55 96
26 48 58
20 54 93
3 34 94
38 81 23
61 77 37
0 57 48
18 95 46
0 57 21
27 66 8
73 94 71
15 24 54
73 94 32
37 54 16
30 38 21
1 9 25
7 53 51
13 40 94
46 72 26
38 82 82
11 28 92
11 61 33
27 86 58
3 51 86
25 75 75
33 67 84
30 38 38
8 60 95
0 57 76
18 95 16
16 45 34
78 92 95
67 85 66
70 76 82
67 85 36
61 77 21
42 56 71
39 49 78
73 94 72
71 95 11
67 85 55
46 72 39
34 90 15
2 86 3
16 45 52
15 24 1
0 57 57
43 45 52
44 88 44
11 87 21
44 88 29
38 81 42
38 81 38
70 76 53
27 86 59
2 86 53
47 84 80
60 98 90
15 24 73
30 38 64
68 81 26
67 85 30
0 57 69
65 99 94
44 88 1
7 53 58
73 94 44
20 54 83
67 85 87
28 32 97
27 66 24
7 33 65
73 94 91
45 74 52
1 9 67
0 57 41
4 81 9
70 76 10
73 94 99
73 94 8
30 38 7
23 93 43
16 45 50
26 48 42
22 58 39
23 93 5
71 95 55
73 94 88
27 86 33
73 94 11
61 77 32
16 99 47
11 61 53
1 88 55
11 61 67
15 24 41
67 85 21
26 48 95
73 94 28
0 57 35
2 86 78
45 52 27
73 94 25
38 81 88
16 45 33
17 45 85
2 86 25
3 74 18
43 45 66
38 81 31
12 71 82
1 9 31
27 86 85
22 58 64
52 57 2
27 86 43
4 89 84
28 94 30
15 37 62
43 45 73
51 75 37
61 77 19
1 9 38
52 57 12
23 93 32
16 45 97
1 9 53
10 93 81
23 93 23
23 93 4
71 95 29
17 45 94
12 71 54
38 81 20
6 9 78
45 52 17
23 93 13
7 33 33
12 71 100
0 57 55
42 56 1
45 52 92
34 90 28
9 59 92
18 95 22
43 45 7
42 56 48
23 93 41
13 48 16
3 93 48
38 82 55
26 48 82
43 45 58
43 45 94
8 60 79
4 89 18
6 9 36
27 66 98
45 52 39
23 93 16
2 86 45
26 48 14
33 67 65
43 45 96
73 94 91
1 42 84
11 61 85
27 86 15
11 28 79
73 94 10
42 56 32
3 74 15
26 48 42
18 95 45
42 81 43
68 81 59
67 74 31
45 52 84
2 86 60
50 89 8
16 45 16
38 81 11
22 58 87
11 28 66
39 49 99
27 86 53
16 45 60
28 94 46
31 34 96
11 87 68
3 51 57
4 74 8
0 57 48
73 94 32
70 76 42
1 42 92
68 81 50
27 66 35
4 81 8
60 61 45
17 45 80
11 61 12
62 83 46
50 89 35
38 81 10
16 45 18
73 94 40
23 93 28
23 93 22
12 71 96
11 87 51
22 58 75
42 81 31
23 93 51
39 49 47
16 45 80
73 94 63
16 99 72
17 45 47
6 9 19
7 33 41
11 61 72
38 81 38
70 76 7
1 42 5
11 28 62
22 58 91
1 42 55
42 81 59
11 28 73
21 37 84
11 28 81
7 53 26
34 90 51
7 53 33
11 70 71
45 52 65
27 86 30
26 48 79
1 55 32
71 95 72
2 86 74
15 24 88
1 9 43
38 81 86
70 76 100
73 94 20
15 24 18
47 84 24
42 81 97
15 24 46
55 62 30
20 54 18
52 57 34
11 28 59
46 72 67
22 58 46
38 81 61
0 57 41
0 57 77
13 40 89
73 94 14
46 72 61
8 60 46
23 93 18
15 24 68
61 77 81
4 89 23
68 81 86
33 67 43
20 54 24
42 81 1
50 89 90
30 38 54
27 86 91
51 75 43
33 67 80
2 86 77
34 90 81
73 94 88
7 33 93
0 57 67
23 93 21
46 72 87
15 24 92
2 86 34
30 38 52
16 99 8
18 95 52
15 24 44
11 61 2
12 71 21
3 93 24
1 9 85
28 94 58
46 72 61
33 67 76
12 71 71
16 99 90
38 81 46
15 24 65
11 87 15
17 45 62
43 45 77
18 95 26
63 80 33
16 45 92
73 94 16
1 9 82
45 52 20
16 99 9
42 56 56
11 87 46
38 81 79
43 45 22
67 74 77
3 93 18
23 93 24
38 81 25
23 93 84
20 54 84
31 34 44
52 57 28
47 53 16
7 53 9
73 94 44
70 76 41
13 40 64
42 56 97
11 28 63
16 45 85
0 57 44
11 28 16
28 32 32
70 76 94
3 74 15
42 56 26
73 94 66
46 72 96
5 11 54
21 37 31
11 70 15
11 28 35
23 93 84
27 86 42
23 93 11
68 81 47
47 53 9
4 89 61
0 57 88
7 33 98
60 61 16
8 60 32
16 45 56
61 77 11
18 95 61
2 86 84
0 57 37
36 91 60
18 95 89
68 81 63
52 57 80
0 57 41
45 52 91
11 28 48
73 94 4
68 81 56
1 9 31
67 74 28
73 94 98
46 98 2
38 82 48
1 55 72
28 32 80
1 42 88
45 96 18
28 94 11
27 86 79
12 71 79
1 88 59
11 61 77
1 9 86
60 98 54
71 95 33
45 52 6
7 33 56
67 85 77
52 57 18
1 55 52
43 45 10
63 80 80
1 9 11
0 57 84
4 89 90
1 9 34
20 40 73
22 58 67
23 93 48
2 86 60
23 93 5
39 49 78
0 57 28
70 76 58
2 86 52
11 70 61
73 94 57
15 24 88
3 51 80
67 85 12
70 76 70
81 94 7
11 28 35
45 52 33
23 93 14
20 54 86
11 87 70
26 48 64
63 80 77
26 48 36
13 40 65
67 74 50
16 99 81
18 95 92
38 81 5
2 86 26
26 48 82
73 94 61
17 45 87
22 58 77
20 54 12
20 54 13
26 48 69
0 57 42
46 72 9
15 24 44
4 89 63
4 81 97
4 89 87
2 86 62
33 67 77
16 99 81
11 61 100
7 33 45
16 99 80
11 87 53
17 19 11
27 66 90
23 93 71
12 71 12
2 86 30
38 81 35
78 92 86
42 81 77
68 81 79
52 57 86
11 28 34
7 33 30
26 48 16
26 48 33
12 71 40
14 46 21
61 77 96
7 53 73
7 33 56
73 94 74
81 94 84
12 71 89
71 95 4
67 74 12
31 34 62
38 81 8
15 24 33
23 93 50
47 53 77
73 94 71
18 95 62
68 81 58
11 28 99
27 66 30
30 38 16
45 52 45
20 54 24
20 54 43
6 9 22
71 95 38
3 74 60
42 56 100
33 67 71
61 77 85
41 70 83
12 71 38
1 9 1
0 57 16
67 74 76
73 94 50
27 86 72
11 61 29
68 81 61
45 52 56
2 86 21
0 57 75
73 94 46
78 92 8
20 54 53
20 40 39
50 89 90
1 9 65
3 74 67
1 55 8
47 53 92
3 93 49
73 94 29
0 57 62
52 57 78
45 52 50
1 9 69
11 61 52
22 58 52
68 81 31
25 75 65
34 90 5
12 71 3
6 9 84
27 66 18
4 89 77
34 90 52
42 56 65
30 38 91
45 52 98
7 33 65
11 70 66
67 74 47
16 45 58
3 74 79
42 81 15
4 89 23
50 89 80
15 37 3
10 93 1
1 88 73
13 40 2
12 71 47
27 86 76
13 40 30
1 9 41
1 9 100
61 77 22
52 57 67
20 40 60
47 53 63
2 86 27
15 24 69
1 9 92
68 81 5
51 75 56
12 71 34
0 57 41
1 9 68
23 93 69
34 90 76
2 86 35
73 94 39
33 67 37
60 61 29
50 89 40
62 83 53
27 86 76
31 34 17
23 93 65
73 94 79
15 24 81
1 42 24
17 45 88
26 48 4
7 53 47
23 93 64
2 86 97
38 81 83
27 66 31
15 37 95
23 93 57
27 86 41
6 9 23
73 94 61
61 77 45
42 56 20
49 83 45
16 45 10
4 81 20
67 85 51
20 54 84
3 93 59
73 94 75
70 76 7
43 45 19
2 86 4
2 86 29
16 99 68
11 28 37
30 38 49
60 98 70
68 81 6
23 93 32
73 94 10
78 92 20
67 85 87
4 81 98
47 53 57
15 24 25
27 66 82
11 28 43
18 95 22
1 88 80
55 62 9
42 56 33
18 95 3
14 46 87
68 81 76
3 74 55
22 58 54
20 54 13
26 48 23
7 33 72
73 94 9
4 89 41
61 77 6
27 86 91
27 86 4
37 54 59
68 81 8
47 53 20
27 66 5
10 93 67
4 81 65
67 74 50
45 52 97
10 93 75
43 45 64
14 46 57
43 45 79
67 74 43
11 87 10
6 9 84
6 9 91
47 84 49
12 71 25
67 74 71
18 95 14
3 74 20
1 9 2
15 24 75
3 93 5
38 82 92
63 80 18
15 24 90
1 9 100
11 70 71
71 95 16
10 93 98
27 86 56
4 89 59
10 93 100
38 81 94
1 9 28
2 86 89
12 71 23
42 56 40
2 86 65
20 54 23
1 55 7
21 37 55
73 94 9
5 11 90
10 93 2
24 94 9
4 89 24
8 60 87
42 56 64
16 45 78
15 24 86
1 9 18
11 28 21
71 95 83
8 60 76
12 71 2
38 82 38
37 54 49
7 53 26
4 74 64
3 74 7
1 42 3
11 61 65
23 93 96
45 52 90
46 72 71
38 81 67
15 37 94
44 88 88
11 70 5
38 81 84
62 83 52
42 81 72
11 70 57
3 74 7
7 33 74
16 45 66
16 45 43
68 81 42
68 81 30
73 94 13
15 24 30
3 74 92
23 93 63
38 81 26
27 86 58
4 74 95
78 92 34
45 52 21
3 93 75
7 53 61
23 93 28
38 81 49
0 57 34
11 28 79
27 86 39
42 56 60
18 95 31
15 24 64
11 28 47
4 81 49
7 33 17
1 9 4
38 81 45
1 9 31
1 9 47
33 67 18
11 70 3
78 92 43
0 57 84
27 86 88
3 93 71
78 92 49
22 58 10
68 81 90
73 94 74
11 28 68
1 9 29
1 9 61
28 94 1
6 9 20
27 86 14
26 48 63
23 93 35
31 34 78
30 38 47
7 33 5
11 28 7
27 86 99
68 81 41
27 66 53
33 67 76
12 71 97
28 94 29
8 60 45
4 89 71
27 66 44
45 52 21
30 38 44
31 34 92
1 55 40
3 51 38
22 58 88
1 88 46
38 82 88
7 33 47
34 90 58
1 9 59
68 81 48
7 33 34
3 34 51
42 81 47
3 93 19
36 91 91
12 71 31
17 45 17
27 86 69
10 93 27
11 61 44
16 99 25
4 81 71
15 37 30
68 81 68
15 24 18
68 81 5
14 46 52
23 93 68
27 86 21
0 57 78
17 19 54
1 55 71
33 67 11
17 45 2
63 80 37
65 71 15
24 94 30
4 89 95
2 86 77
30 38 23
11 28 82
0 57 64
67 85 59
45 52 76
44 88 15
15 24 54
45 52 74
23 93 97
26 48 86
16 99 26
20 54 97
27 66 76
16 45 24
2 86 96
73 94 82
11 28 79
7 53 19
38 82 32
38 82 98
70 76 41
12 71 100
3 34 35
10 93 84
20 54 10
26 48 3
27 66 36
15 24 55
13 48 56
23 93 23
2 86 68
17 19 76
23 93 81
60 98 90
73 94 7
20 54 95
65 71 18
2 86 38
10 93 9
0 57 27
20 54 86
42 81 93
5 11 90
38 81 41
43 45 28
42 56 34
44 88 18
60 98 17
3 74 13
42 81 28
39 49 39
47 53 23
14 46 12
28 94 80
68 81 29
73 94 81
18 95 89
46 98 52
73 94 71
65 71 74
23 93 76
27 66 59
23 93 20
70 76 96
18 95 8
80 98 61
15 24 66
16 45 15
67 85 75
80 98 43
38 81 36
71 95 81
1 9 32
62 83 36
71 95 76
67 85 15
22 58 77
45 52 35
45 74 29
62 83 2
41 70 46
3 74 70
71 95 25
11 28 88
7 53 100
30 38 8
73 94 41
0 57 10
33 67 68
2 86 78
1 9 86
45 52 21
27 86 87
47 53 99
61 77 38
71 95 96
11 28 100
11 61 6
71 95 84
7 53 85
2 86 67
17 45 19
15 24 35
8 60 26
12 71 45
27 86 51
73 94 65
23 93 68
0 57 90
3 74 64
61 77 45
27 86 95
15 24 27
16 99 31
78 92 18
80 98 20
26 48 58
3 74 52
26 48 47
71 95 94
38 82 83
73 94 49
13 40 65
28 94 16
22 69 45
1 9 34
33 67 100
50 89 69
46 72 25
61 77 97
45 52 26
1 9 80
15 24 63
42 56 61
26 48 61
1 9 40
4 89 76
18 95 64
23 93 12
16 99 71
9 59 57
2 86 36
62 83 42
1 88 58
27 86 22
67 74 85
20 54 59
27 86 39
1 9 94
11 28 37
30 38 51
1 9 87
78 92 98
7 53 57
11 28 13
68 81 88
16 45 33
0 57 37
67 85 97
7 33 7
52 57 92
73 94 98
65 71 82
67 74 80
38 81 67
42 56 82
1 9 56
67 85 83
5 11 49
60 61 28
22 58 53
23 93 88
26 48 56
73 94 64
1 88 16
11 61 79
23 93 57
47 84 30
16 45 63
15 24 1
16 45 35
34 90 39
71 95 69
10 93 59
67 85 6
27 86 95
12 71 21
67 74 12
38 82 7
4 81 91
38 81 36
73 94 54
23 93 24
20 54 73
1 9 3
16 99 50
28 94 71
45 52 69
30 38 30
27 86 25
22 69 100
60 98 19
60 61 93
18 95 16
18 95 47
11 61 84
13 48 26
42 56 92
11 61 99
27 66 24
16 99 38
73 94 83
1 9 26
7 33 77
23 93 25
47 53 7
47 53 46
27 66 89
1 9 65
46 72 52
26 48 21
0 57 65
1 9 95
81 94 74
23 93 64
2 86 42
47 53 62
38 82 13
27 66 6
0 57 3
11 28 93
23 93 88
42 81 33
52 57 49
46 98 75
7 53 10
0 57 71
27 66 51
3 34 21
15 24 8
73 94 8
73 94 29
18 95 97
33 67 44
4 74 18
46 72 35
62 83 55
42 56 58
45 52 29
16 45 4
0 57 66
45 52 81
27 86 69
8 60 14
78 92 92
15 24 90
0 57 83
55 62 65
0 57 34
13 48 77
73 94 97
16 45 43
3 93 19
11 61 17
45 74 53
0 57 14
38 81 40
18 95 26
31 34 20
16 45 26
20 54 14
0 57 2
1 9 88
12 71 87
3 74 84
68 81 36
11 61 28
71 95 46
34 90 67
65 71 54
7 33 21
38 81 92
28 94 51
28 94 53
28 94 16
47 53 80
50 89 69
22 69 87
42 81 6
16 45 38
26 48 88
45 74 15
23 93 35
11 70 18
67 74 17
16 99 96
34 90 74
44 88 98
3 74 19
17 19 12
46 72 58
47 53 24
44 88 19
46 72 51
31 34 75
26 48 76
7 33 77
1 55 80
1 9 48
4 81 30
73 94 56
3 74 85
22 58 86
4 74 97
23 93 41
31 34 58
11 61 93
30 38 51
71 95 36
50 89 41
23 93 50
47 53 49
33 67 11
15 24 17
81 94 85
46 72 63
52 57 99
43 45 45
0 57 86
16 45 66
1 9 16
8 60 53
71 95 8
12 71 81
0 57 85
27 86 46
37 54 53
3 93 90
51 75 15
47 84 51
6 9 34
46 98 42
1 88 28
7 53 48
60 98 74
46 72 88
45 52 59
3 35 28
26 48 65
44 88 56
12 71 98
27 66 100
4 81 96
43 45 46
15 37 3
38 81 77
43 45 27
45 52 87
15 24 69
20 54 44
1 55 60
60 98 92
34 90 64
2 86 60
15 37 47
22 58 19
45 74 28
2 86 89
68 81 99
4 89 48
67 74 59
47 53 13
1 9 25
20 54 15
1 9 37
11 61 51
31 34 6
18 95 19
4 89 78
38 81 9
23 93 28
68 81 78
65 71 7
4 81 11
16 99 34
4 74 26
20 54 25
46 98 91
13 40 17
0 57 94
3 34 43
8 60 92
12 71 96
23 93 57
4 81 83
10 93 85
16 45 82
39 49 43
4 89 8
23 93 50
1 88 96
11 61 73
45 52 67
67 85 83
13 40 97
22 58 60
73 94 60
67 85 2
11 70 67
30 38 79
15 37 61
55 62 71
16 99 33
33 67 78
52 57 15
62 83 43
4 89 82
11 28 87
2 86 92
4 81 73
42 81 90
45 52 39
30 38 73
8 60 10
10 93 90
71 95 26
20 40 7
4 74 65
15 24 6
17 19 60
73 94 77
3 93 2
15 24 36
61 77 7
11 61 42
67 74 31
4 89 76
23 93 38
11 61 66
68 81 44
16 99 48
38 81 33
7 53 8
25 75 49
16 45 25
73 94 36
47 84 26
1 9 44
1 9 59
3 34 94
23 93 81
20 54 61
13 40 95
73 94 82
67 85 14
45 52 66
38 81 19
1 9 61
55 62 62
27 66 30
15 24 43
22 58 79
7 53 59
11 28 33
1 55 43
45 52 1
6 9 21
16 45 67
60 98 32
18 95 8
43 45 89
16 45 6
39 49 21
1 55 63
23 93 96
38 82 80
70 76 68
52 57 79
26 48 99
27 86 46
26 48 69
16 99 51
23 93 79
15 24 78
3 93 95
34 90 28
1 9 32
73 94 31
63 80 33
70 76 15
28 94 64
2 86 23
13 48 93
27 86 71
61 77 33
73 94 31
52 57 77
55 62 18
10 93 75
18 95 7
65 71 70
20 54 51
1 55 66
63 80 72
43 45 46
15 24 86
11 87 20
43 45 35
73 94 33
23 93 63
3 51 40
23 93 77
73 94 80
45 52 7
38 81 6
71 95 73
31 34 19
12 71 13
60 61 1
27 66 91
73 94 50
73 94 73
23 93 68
15 24 1
73 94 91
31 34 18
1 9 33
45 52 75
3 34 62
73 94 44
11 28 25
28 94 69
0 57 65
68 81 98
55 62 89
38 81 54
16 45 15
18 95 75
47 84 73
16 45 34
31 34 73
3 34 78
68 81 87
1 9 40
45 52 17
20 54 96
42 56 19
38 81 28
34 90 71
68 81 40
63 80 67
63 80 56
1 42 97
1 9 85
4 81 82
4 81 14
16 45 22
67 85 64
4 81 26
1 42 31
36 91 99
2 86 30
2 86 22
11 61 79
55 62 90
50 89 42
14 46 34
67 74 40
6 9 69
33 67 72
16 99 86
73 94 9
18 95 4
67 74 73
3 93 18
17 19 12
4 81 74
26 48 75
1 9 41
73 94 49
73 94 46
2 86 86
15 24 80
41 70 35
6 9 74
12 71 57
4 89 91
15 24 69
38 82 17
71 95 22
30 38 55
42 81 93
31 34 38
4 89 12
70 76 50
1 55 72
15 24 45
71 95 95
42 56 92
26 48 41
4 89 14
1 9 31
0 57 59
23 93 1
16 99 33
39 49 58
6 9 15
47 53 77
17 19 49
28 94 49
4 81 73
4 81 68
31 34 53
67 85 78
7 33 37
47 84 35
12 71 5
65 71 15
27 86 98
23 93 54
11 70 81
63 80 19
27 66 37
4 89 5
22 69 61
12 71 62
28 94 90
0 57 21
2 86 49
16 99 96
4 89 9
39 49 14
42 56 56
0 57 58
4 81 93
47 53 60
27 86 97
43 45 53
27 86 4
27 66 47
7 33 29
4 81 32
52 57 82
52 57 11
60 61 36
20 54 92
11 28 14
15 37 34
45 52 46
73 94 53
15 24 55
42 81 73
3 93 66
23 93 44
67 85 48
11 28 65
27 86 99
52 57 52
2 86 50
1 9 56
23 93 75
4 89 77
15 24 80
38 81 31
73 94 90
4 89 7
8 60 15
11 28 17
22 58 23
7 33 41
45 52 43
33 67 81
70 76 94
67 85 50
73 94 20
42 56 68
65 99 58
1 9 50
52 57 51
42 81 90
15 24 14
20 54 17
27 86 35
26 48 71
68 81 23
18 95 45
17 19 69
26 48 95
45 52 72
22 58 18
38 81 20
18 95 11
23 93 27
7 33 51
70 76 12
12 71 84
52 57 88
11 61 89
30 38 2
16 99 57
68 81 21
38 81 11
67 85 89
3 93 60
42 56 96
12 71 77
1 55 80
22 58 94
1 88 92
27 86 13
2 86 64
2 86 4
15 37 99
1 9 5
11 28 29
42 56 63
68 81 49
52 57 29
44 88 30
0 57 81
0 57 17
55 62 12
7 53 82
67 74 22
27 86 100
52 57 66
38 81 18
68 81 76
34 90 66
44 88 39
38 81 61
17 45 98
16 99 52
60 61 18
34 90 18
34 90 84
3 93 48
27 86 79
72 78 9
47 84 66
55 62 58
23 93 16
23 93 69
28 94 36
30 38 39
15 24 100
41 70 90
50 89 33
45 52 64
27 86 48
45 74 56
0 57 36
23 93 24
38 81 42
60 98 44
42 56 71
27 86 52
39 49 53
11 28 55
70 76 96
67 74 97
12 71 87
11 61 96
15 37 23
7 33 63
26 48 7
30 38 6
38 82 81
44 88 16
68 81 66
38 81 72
50 89 90
3 74 75
17 45 37
38 81 94
68 81 22
44 88 9
18 95 41
61 77 5
16 99 66
22 58 76
42 56 47
1 9 58
21 37 7
42 56 71
38 81 60
10 93 41
27 86 80
10 93 100
70 76 4
47 53 81
6 9 1
33 67 27
47 53 88
33 67 80
11 87 48
29 50 52
71 95 2
15 24 88
4 81 47
18 95 50
73 94 64
15 24 44
45 52 48
1 9 20
7 53 12
30 38 34
70 76 29
67 85 53
4 89 70
0 57 99
28 94 49
1 9 44
27 86 2
42 81 90
26 48 13
17 45 73
46 98 10
60 98 45
11 28 8
47 53 26
68 81 24
38 81 49
12 71 92
1 9 18
0 57 65
3 51 68
7 33 90
70 76 48
31 34 29
23 93 14
62 83 93
10 93 49
73 94 11
1 55 57
61 77 52
7 53 77
2 79 10
47 84 55
42 81 26
38 81 64
38 81 26
26 48 87
52 57 58
4 89 52
1 9 68
73 94 91
1 55 1
46 98 14
15 24 24
33 67 56
27 86 59
45 52 62
3 74 61
11 28 43
45 52 48
11 87 77
0 57 60
71 95 69
28 94 55
42 56 91
8 60 47
60 98 79
11 28 28
42 81 29
2 86 41
45 52 12
55 62 72
3 34 13
16 45 18
63 80 43
33 67 1
11 28 100
61 77 33
68 81 49
15 24 22
15 24 54
26 48 2
16 99 28
34 90 100
73 94 50
6 9 14
31 34 44
47 53 70
73 94 80
28 94 30
7 33 79
30 38 63
45 96 24
31 34 28
1 55 46
38 82 10
0 57 48
4 81 90
67 74 62
20 40 80
39 49 62
11 87 17
15 24 37
28 94 50
3 74 49
38 81 97
12 71 88
1 42 70
26 48 15
11 28 54
30 38 46
17 45 15
71 95 76
1 9 67
65 71 15
7 33 46
38 81 9
0 57 37
73 94 10
4 89 20
73 94 7
30 38 44
7 33 1
27 86 98
38 81 79
14 46 5
3 74 99
73 94 68
1 88 40
38 81 18
11 28 85
11 28 77
1 9 80
30 38 86
26 48 50
27 86 69
27 66 81
1 42 7
47 53 72
71 95 41
2 86 59
15 24 55
2 86 69
42 81 23
15 24 74
34 90 56
68 81 86
38 81 42
3 74 79
23 93 71
12 71 80
2 86 85
16 45 16
70 76 98
38 81 48
4 89 17
2 86 98
11 28 39
42 56 49
68 81 75
30 38 14
47 53 80
43 45 66
52 57 6
47 53 96
31 34 98
15 24 81
8 60 1
2 86 12
70 76 3
16 45 4
30 38 41
28 94 66
20 54 47
42 81 79
4 81 50
3 34 66
34 90 32
4 89 30
73 94 50
8 60 77
1 9 49
68 81 97
4 89 30
16 45 19
73 94 17
0 57 74
3 93 88
27 86 38
65 71 53
3 35 63
0 57 14
4 81 15
18 95 84
60 61 18
3 34 77
0 57 17
17 45 96
68 81 38
38 82 35
30 38 55
18 95 37
27 86 48
23 93 11
9 59 31
3 51 46
73 94 75
18 95 78
28 94 66
38 81 60
23 93 12
27 66 12
12 71 46
45 52 35
12 71 30
16 45 78
27 86 91
65 99 92
46 72 73
65 99 59
38 81 1
71 95 97
16 45 98
11 87 13
16 45 63
3 93 45
22 58 81
45 52 28
28 94 70
23 93 40
46 72 40
11 61 58
45 52 58
12 71 46
7 33 80
26 48 47
4 89 98
3 93 64
16 45 97
18 95 45
42 56 34
41 70 35
70 76 54
23 93 5
68 81 61
9 59 6
70 76 66
6 9 13
30 38 5
26 48 44
1 9 7
23 93 37
27 86 17
1 9 86
20 40 5
23 93 100
11 61 61
50 89 16
7 33 83
17 19 16
7 53 97
4 89 98
14 46 91
11 87 26
34 90 16
10 93 30
6 9 16
15 24 89
1 9 84
73 94 49
42 56 74
1 9 54
7 33 91
73 94 70
4 81 69
43 45 25
45 52 96
55 62 36
60 98 53
11 28 27
42 81 93
18 95 65
34 90 54
11 61 83
70 76 9
3 74 100
23 93 33
73 94 28
3 34 35
10 93 56
3 74 12
9 59 64
7 33 85
16 99 41
45 52 76
27 86 52
1 9 22
65 99 24
3 93 16
0 57 8
27 86 43
8 60 65
6 9 49
0 57 58
38 81 37
73 94 69
10 93 29
80 98 3
3 74 87
3 93 26
0 57 20
23 93 93
28 94 6
81 94 89
0 57 100
31 34 13
67 74 93
1 55 7
7 33 25
55 62 16
15 24 30
4 74 45
61 77 96
22 52 98
52 57 7
11 28 59
11 61 86
6 9 11
4 89 79
8 60 81
10 93 88
26 48 13
26 48 53
47 53 88
27 86 90
1 9 76
15 24 36
71 95 55
67 74 21
68 81 12
0 57 40
28 94 9
3 93 47
1 42 22
30 38 29
73 94 3
42 56 47
39 49 74
47 53 61
3 34 71
60 98 61
3 74 61
7 33 53
18 95 21
73 94 11
12 71 24
30 38 93
38 81 43
15 24 69
45 96 67
20 54 21
7 33 100
71 95 87
25 75 68
4 74 17
68 81 62
12 71 90
22 58 84
27 66 71
2 86 96
80 98 51
17 45 81
0 57 60
30 38 59
44 88 24
73 94 66
1 88 21
20 54 21
1 9 24
73 94 28
45 52 46
20 54 36
73 94 6
1 9 53
0 57 74
17 45 53
16 45 80
17 19 47
23 93 81
12 71 17
73 94 74
1 88 88
16 45 78
15 37 14
23 93 67
15 37 9
17 19 79
73 94 91
78 92 97
23 93 90
34 90 43
71 95 33
7 53 2
38 81 71
1 9 12
2 86 62
27 86 62
16 99 37
50 89 52
15 37 3
15 24 55
0 57 85
28 94 74
1 9 59
68 81 99
38 81 70
18 95 6
73 94 20
43 45 57
67 85 51
20 54 21
7 53 61
12 71 5
43 45 7
23 93 6
21 37 98
23 93 98
12 71 60
39 49 79
15 37 43
16 45 86
23 93 34
12 71 52
20 54 54
1 9 1
4 81 5
42 56 3
73 94 84
71 95 22
46 98 80
4 81 95
62 83 42
0 57 88
45 52 70
68 81 47
7 53 50
60 98 88
28 32 83
71 95 12
23 93 95
1 55 13
38 81 43
6 9 27
7 53 63
1 9 24
4 89 26
42 81 78
45 52 29
12 71 81
42 56 52
43 45 69
61 77 18
4 89 9
8 60 9
27 86 17
16 45 58
61 77 74
7 33 5
15 24 1
7 53 83
4 74 70
4 81 66
22 58 5
23 93 94
16 99 26
4 89 95
31 34 12
73 94 86
18 95 30
12 71 65
65 99 81
11 61 1
11 28 87
11 87 76
12 71 86
30 38 27
4 81 14
1 55 84
27 66 62
16 99 54
28 94 49
22 58 38
46 98 46
68 81 57
31 34 91
1 55 26
73 94 87
28 94 85
32 36 7
18 95 89
27 86 70
